Date,port_ret,turnover,mkt_ret,cost,slippage,strat_ret,equity,mkt_equity,cum_strat,cum_mkt,drawdown
2010-09-27,0.0,0.0,0.0035158057598363435,0.0,0.0,0.0,100000.0,100351.58057598364,1.0,1.0035158057598363,0.0
2010-09-28,0.0,0.0,-0.001801804829093534,0.0,0.0,0.0,100000.0,100170.76661349466,1.0,1.0017076661349467,0.0
2010-09-29,0.0,0.0,-0.0029181745151294347,0.0,0.0,0.0,100000.0,99878.4508352022,1.0,0.9987845083520219,0.0
2010-09-30,0.0,0.0,0.004133557411482913,0.0,0.0,0.0,100000.0,100291.30414589948,1.0,1.0029130414589948,0.0
2010-10-01,0.0,0.0,-0.007612124746718463,0.0,0.0,0.0,100000.0,99527.87422772982,1.0,0.9952787422772982,0.0
2010-10-04,0.0,0.0,0.0202865812443489,0.0,0.0,0.0,100000.0,101546.954534328,1.0,1.01546954534328,0.0
2010-10-05,0.0,0.0,-9.886741713327485e-05,0.0,0.0,0.0,100000.0,101536.91484921545,1.0,1.0153691484921545,0.0
2010-10-06,0.0,0.0,-0.0010882529517106665,0.0,0.0,0.0,100000.0,101426.41700192321,1.0,1.014264170019232,0.0
2010-10-07,0.0,0.0,0.00544711712106527,0.0,0.0,0.0,100000.0,101978.89857450269,1.0,1.0197889857450269,0.0
2010-10-08,0.0,0.0,0.0008865639308637263,0.0,0.0,0.0,100000.0,102069.30938768806,1.0,1.0206930938768806,0.0
2010-10-11,0.0,0.0,0.0032477298402955324,0.0,0.0,0.0,100000.0,102400.80292956482,1.0,1.0240080292956482,0.0
2010-10-12,0.0,0.0,0.00774966545622191,0.0,0.0,0.0,100000.0,103194.37489471746,1.0,1.0319437489471746,0.0
2010-10-13,0.0,0.0,-0.003893716663174951,0.0,0.0,0.0,100000.0,102792.56523764397,1.0,1.0279256523764397,0.0
2010-10-14,0.0,0.0,0.002052175126697975,0.0,0.0,0.0,100000.0,103003.51358323415,1.0,1.0300351358323414,0.0
2010-10-15,0.0,0.0,0.007021661929730749,0.0,0.0,0.0,100000.0,103726.76943319004,1.0,1.0372676943319004,0.0
2010-10-18,0.0,0.0,-0.015204335292894222,0.0,0.0,0.0,100000.0,102149.67285187908,1.0,1.0214967285187908,0.0
2010-10-19,0.0,0.0,0.009735449306729649,0.0,0.0,0.0,100000.0,103144.14581362756,1.0,1.0314414581362756,0.0
2010-10-20,0.0,0.0,0.00233733797288882,0.0,0.0,0.0,100000.0,103385.22854231893,1.0,1.0338522854231893,0.0
2010-10-21,0.0,0.0,0.0016517506021158646,0.0,0.0,0.0,100000.0,103555.9951558136,1.0,1.035559951558136,0.0
2010-10-22,0.0,0.0,0.0031041549673731517,0.0,0.0,0.0,100000.0,103877.44901257778,1.0,1.0387744901257778,0.0
2010-10-25,0.0,0.0,0.0001933724239266965,0.0,0.0,0.0,100000.0,103897.53604668466,1.0,1.0389753604668466,0.0
2010-10-26,0.0,0.0,-0.0029971725580497655,0.0,0.0,0.0,100000.0,103586.13720279654,1.0,1.0358613720279655,0.0
2010-10-27,0.0,0.0,0.00019391623869080554,0.0,0.0,0.0,100000.0,103606.22423690342,1.0,1.0360622423690342,0.0
2010-10-28,0.0,0.0,0.000775662512392028,0.0,0.0,0.0,100000.0,103686.58770109447,1.0,1.0368658770109447,0.0
2010-10-29,0.0,0.0,0.00029062951891201116,0.0,0.0,0.0,100000.0,103716.72208419567,1.0,1.0371672208419567,0.0
2010-11-01,0.0,0.0,0.008135557751967282,0.0,0.0,0.0,100000.0,104560.51546655638,1.0,1.0456051546655638,0.0
2010-11-02,0.0,0.0,0.00393893435041015,0.0,0.0,0.0,100000.0,104972.37247262419,1.0,1.0497237247262419,0.0
2010-11-03,0.0,0.0,0.019043041758560086,0.0,0.0,0.0,100000.0,106971.3657451155,1.0,1.069713657451155,0.0
2010-11-04,0.0,0.0,0.0041318663746161555,0.0,0.0,0.0,100000.0,107413.35713428451,1.0,1.074133571342845,0.0
2010-11-05,0.0,0.0,-0.0021509712548131166,0.0,0.0,0.0,100000.0,107182.3140907057,1.0,1.0718231409070569,0.0
2010-11-08,0.0,0.0,-0.00712272285447757,0.0,0.0,0.0,100000.0,106418.88417253603,1.0,1.0641888417253602,0.0
2010-11-09,0.0,0.0,0.003870077621922041,0.0,0.0,0.0,100000.0,106830.73351472207,1.0,1.0683073351472208,0.0
2010-11-10,0.0,0.0,-0.0035730818887640403,0.0,0.0,0.0,100000.0,106449.01855563725,1.0,1.0644901855563724,0.0
2010-11-11,0.0,0.0,-0.01198456410145643,0.0,0.0,0.0,100000.0,105173.27346922008,1.0,1.0517327346922007,0.0
2010-11-12,0.0,0.0,-0.0014326065029258706,0.0,0.0,0.0,100000.0,105022.60155371408,1.0,1.0502260155371408,0.0
2010-11-15,0.0,0.0,-0.015399335852286145,0.0,0.0,0.0,100000.0,103405.3232403076,1.0,1.034053232403076,0.0
